Gene	Description	% Altered in PDXs
A1CF	APOBEC1 complementation factor	11.1%
A4GNT	"alpha-1,4-N-acetylglucosaminyltransferase"	5.6%
ABCA1	"ATP-binding cassette, sub-family A (ABC1), member 1"	22.2%
ABCA12	"ATP-binding cassette, sub-family A (ABC1), member 12"	8.3%
ABCA13	"ATP-binding cassette, sub-family A (ABC1), member 13"	38.9%
ABCC1	"ATP-binding cassette, sub-family C (CFTR/MRP), member 1"	11.1%
ABCC3	"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"	16.7%
ABI3BP	"ABI family, member 3 (NESH) binding protein"	11.1%
ACACB	acetyl-Coenzyme A carboxylase beta	13.9%
ACER1	alkaline ceramidase 1	8.3%
ACTN2	"actinin, alpha 2"	5.6%
ACY3	aspartoacylase (aminocyclase) 3	5.6%
ADAM19	ADAM metallopeptidase domain 19 (meltrin beta)	5.6%
ADAM32	ADAM metallopeptidase domain 32	11.1%
ADAM8	ADAM metallopeptidase domain 8	8.3%
ADAMTS12	"ADAM metallopeptidase with thrombospondin type 1 motif, 12"	33.3%
ADAMTS16	"ADAM metallopeptidase with thrombospondin type 1 motif, 16"	11.1%
ADAMTS20	"ADAM metallopeptidase with thrombospondin type 1 motif, 20"	13.9%
ADCY8	adenylate cyclase 8 (brain)	11.1%
AFM	afamin	5.6%
AGAP2	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"	5.6%
AGBL2	ATP/GTP binding protein-like 2	5.6%
AGTPBP1	ATP/GTP binding protein 1	5.6%
AGTR1	"angiotensin II receptor, type 1"	11.1%
AIF1L	allograft inflammatory factor 1-like	27.8%
ALDH6A1	"aldehyde dehydrogenase 6 family, member A1"	8.3%
ANK1	"ankyrin 1, erythrocytic"	11.1%
ANK3	"ankyrin 3, node of Ranvier (ankyrin G)"	11.1%
ANKDD1A	ankyrin repeat and death domain containing 1A	47.2%
ANKMY1	ankyrin repeat and MYND domain containing 1	5.6%
ANKRD30A	ankyrin repeat domain 30A	11.1%
ANKRD34A	ankyrin repeat domain 34A	13.9%
ANKRD36	ankyrin repeat domain 36; similar to ankyrin repeat domain 36	58.3%
ANPEP	alanyl (membrane) aminopeptidase	19.4%
APAF1	apoptotic peptidase activating factor 1	22.2%
APBB1IP	"amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein"	8.3%
APEH	N-acylaminoacyl-peptide hydrolase	44.4%
APOB	apolipoprotein B (including Ag(x) antigen)	11.1%
AQP7	aquaporin 7	11.1%
AQR	aquarius homolog (mouse)	11.1%
ARF4	ADP-ribosylation factor 4	25.0%
ARHGAP21	Rho GTPase activating protein 21	8.3%
ARHGAP22	Rho GTPase activating protein 22	11.1%
ARHGAP26	Rho GTPase activating protein 26	36.1%
ARHGAP32	Rho GTPase-activating protein	8.3%
ARHGEF11	Rho guanine nucleotide exchange factor (GEF) 11	11.1%
ARHGEF2	Rho/Rac guanine nucleotide exchange factor (GEF) 2	11.1%
ARHGEF26	NA	11.1%
ARHGEF37	NA	11.1%
ARHGEF4	Rho guanine nucleotide exchange factor (GEF) 4	8.3%
ARID1B	AT rich interactive domain 1B (SWI1-like)	19.4%
ARID2	"AT rich interactive domain 2 (ARID, RFX-like)"	11.1%
ARIH2	ariadne homolog 2 (Drosophila)	11.1%
ARL6	ADP-ribosylation factor-like 6	13.9%
ARPP21	"cyclic AMP-regulated phosphoprotein, 21 kD"	8.3%
ATAD5	"ATPase family, AAA domain containing 5"	8.3%
ATE1	arginyltransferase 1	8.3%
ATF6	activating transcription factor 6	13.9%
ATG2A	ATG2 autophagy related 2 homolog A (S. cerevisiae)	33.3%
ATP10A	"ATPase, class V, type 10A"	13.9%
ATP12A	"ATPase, H+/K+ transporting, nongastric, alpha polypeptide"	11.1%
ATP1A4	"ATPase, Na+/K+ transporting, alpha 4 polypeptide"	13.9%
ATP2B2	"ATPase, Ca++ transporting, plasma membrane 2"	5.6%
ATP5S	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s (factor B)"	72.2%
ATR	ataxia telangiectasia and Rad3 related; similar to ataxia telangiectasia and Rad3 related protein	30.6%
ATXN1	ataxin 1	13.9%
AZI1	5-azacytidine induced 1	19.4%
BACE1	beta-site APP-cleaving enzyme 1	11.1%
BAI3	brain-specific angiogenesis inhibitor 3	8.3%
BARX2	BARX homeobox 2	8.3%
BBS1	Bardet-Biedl syndrome 1	8.3%
BBX	bobby sox homolog (Drosophila)	11.1%
BCAM	basal cell adhesion molecule (Lutheran blood group)	13.9%
BCAS1	breast carcinoma amplified sequence 1	22.2%
BCL9	B-cell CLL/lymphoma 9	16.7%
BHMT	betaine-homocysteine methyltransferase	5.6%
BIN2	bridging integrator 2	5.6%
BIRC6	baculoviral IAP repeat-containing 6	27.8%
BIRC7	baculoviral IAP repeat-containing 7	5.6%
BIRC8	baculoviral IAP repeat-containing 8	8.3%
BMPER	BMP binding endothelial regulator	5.6%
BPI	bactericidal/permeability-increasing protein	66.7%
BRCA1	"breast cancer 1, early onset"	8.3%
BRD9	bromodomain containing 9	41.7%
BTBD11	BTB (POZ) domain containing 11	22.2%
BTBD17	BTB (POZ) domain containing 17	11.1%
C10orf90	chromosome 10 open reading frame 90	8.3%
C1R	"complement component 1, r subcomponent"	8.3%
C20orf26	chromosome 20 open reading frame 26	5.6%
C4orf3	chromosome 4 open reading frame 3	52.8%
CA13	carbonic anhydrase XIII	8.3%
CACNA2D2	"calcium channel, voltage-dependent, alpha 2/delta subunit 2"	11.1%
CACNB4	"calcium channel, voltage-dependent, beta 4 subunit"	5.6%
CADM3	cell adhesion molecule 3	13.9%
CADPS	Ca++-dependent secretion activator	16.7%
CAGE1	cancer antigen 1	13.9%
CAMK1D	calcium/calmodulin-dependent protein kinase ID	5.6%
CAMTA1	calmodulin binding transcription activator 1	16.7%
CAPRIN1	cell cycle associated protein 1	5.6%
CAPRIN2	caprin family member 2	5.6%
CARD11	"caspase recruitment domain family, member 11"	8.3%
CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	8.3%
CCDC101	coiled-coil domain containing 101	8.3%
CCDC14	coiled-coil domain containing 14	5.6%
CCDC150	coiled-coil domain containing 150	16.7%
CCDC158	coiled-coil domain containing 158	8.3%
CCDC42	coiled-coil domain containing 42	5.6%
CCDC60	coiled-coil domain containing 60	55.6%
CDC73	"cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)"	5.6%
CDH11	"cadherin 11, type 2, OB-cadherin (osteoblast)"	8.3%
CDKL1	cyclin-dependent kinase-like 1 (CDC2-related kinase)	72.2%
CDKL2	cyclin-dependent kinase-like 2 (CDC2-related kinase)	5.6%
CDKN2C	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"	5.6%
CDO1	"cysteine dioxygenase, type I"	5.6%
CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	11.1%
CELF2	"CUG triplet repeat, RNA binding protein 2"	5.6%
CENPC1	centromere protein C 1	8.3%
CEP290	centrosomal protein 290kDa	11.1%
CHD2	chromodomain helicase DNA binding protein 2	11.1%
CHI3L2	chitinase 3-like 2	38.9%
CHUK	conserved helix-loop-helix ubiquitous kinase	5.6%
CIRH1A	"cirrhosis, autosomal recessive 1A (cirhin)"	8.3%
CISH	cytokine inducible SH2-containing protein	11.1%
CIT	"citron (rho-interacting, serine/threonine kinase 21)"	11.1%
CIZ1	CDKN1A interacting zinc finger protein 1	25.0%
CKAP2L	cytoskeleton associated protein 2-like	8.3%
CLEC14A	"C-type lectin domain family 14, member A"	22.2%
CLIP1	CAP-GLY domain containing linker protein 1	22.2%
CLIP2	CAP-GLY domain containing linker protein 2	5.6%
CLRN3	clarin 3	8.3%
CLSTN2	calsyntenin 2	5.6%
CNBD1	cyclic nucleotide binding domain containing 1	8.3%
CNGA1	cyclic nucleotide gated channel alpha 1	8.3%
CNGB1	cyclic nucleotide gated channel beta 1	5.6%
CNGB3	cyclic nucleotide gated channel beta 3	11.1%
CNNM2	cyclin M2	8.3%
CNTN1	contactin 1	11.1%
CNTN5	contactin 5	8.3%
CNTNAP4	contactin associated protein-like 4	16.7%
CNTNAP5	contactin associated protein-like 5	13.9%
COL19A1	"collagen, type XIX, alpha 1"	8.3%
COL20A1	"collagen, type XX, alpha 1"	8.3%
COL24A1	"collagen, type XXIV, alpha 1"	19.4%
COL28A1	"collagen, type XXVIII, alpha 1"	44.4%
COL4A2	"collagen, type IV, alpha 2"	19.4%
COL5A2	"collagen, type V, alpha 2"	8.3%
